Last Update,Country,Province/State,Confirmed
2016-04-16,Argentina,Jujuy,510
2016-04-16,Argentina,Jujuy,1
2016-04-16,Argentina,La_Pampa,2
2016-04-16,Argentina,La_Rioja,3
2016-04-16,Argentina,Mendoza,1
2016-04-16,Argentina,Mendoza,15
2016-04-16,Argentina,Misiones,6
2016-04-16,Argentina,Neuquen,20
2016-04-16,Argentina,Rio_Negro,8
2016-04-16,Argentina,Salta,78
2016-04-16,Argentina,Salta,2
2016-04-16,Argentina,San_Luis,10
2016-04-16,Argentina,Santa_Cruz,9
2016-04-16,Argentina,Santa_Fe,28
2016-04-16,Argentina,Santa_Fe,2
2016-04-16,Argentina,Sgo_Del_Estero,6
2016-04-16,Argentina,Tucuman,38
2016-04-29,Argentina,Buenos_Aires,2
2016-04-29,Argentina,Buenos_Aires,1
2016-04-29,Argentina,Buenos_Aires,188
2016-04-29,Argentina,Buenos_Aires,21
2016-04-29,Argentina,CABA,9
2016-04-29,Argentina,CABA,90
2016-04-29,Argentina,CABA,2
2016-04-29,Argentina,Catamarca,15
2016-04-29,Argentina,Chaco,61
2016-04-29,Argentina,Chaco,1
2016-04-29,Argentina,Chubut,1
2016-04-29,Argentina,Chubut,5
2016-04-29,Argentina,Cordoba,1
2016-04-29,Argentina,Cordoba,2
2016-04-29,Argentina,Cordoba,30
2016-04-29,Argentina,Corrientes,2
2016-04-29,Argentina,Corrientes,19
2016-04-29,Argentina,Entre_Rios,37
2016-04-29,Argentina,Formosa,9
2016-04-29,Argentina,Jujuy,597
2016-04-29,Argentina,Jujuy,1
2016-04-29,Argentina,La_Pampa,2
2016-04-29,Argentina,La_Rioja,3
2016-04-29,Argentina,Mendoza,1
2016-04-29,Argentina,Mendoza,15
2016-04-29,Argentina,Misiones,6
2016-04-29,Argentina,Neuquen,20
2016-04-29,Argentina,Rio_Negro,9
2016-04-29,Argentina,Salta,80
2016-04-29,Argentina,Salta,2
2016-04-29,Argentina,San_Juan,1
2016-04-29,Argentina,San_Luis,10
2016-04-29,Argentina,Santa_Cruz,9
2016-04-29,Argentina,Santa_Fe,29
2016-04-29,Argentina,Santa_Fe,2
2016-04-29,Argentina,Sgo_Del_Estero,6
2016-04-29,Argentina,Tucuman,38
2016-04-29,Argentina,Tucuman,1
2016-05-07,Argentina,Buenos_Aires,4
2016-05-07,Argentina,Buenos_Aires,1
2016-05-07,Argentina,Buenos_Aires,339
2016-05-07,Argentina,Buenos_Aires,38
2016-05-07,Argentina,CABA,8
2016-05-07,Argentina,CABA,245
2016-05-07,Argentina,CABA,2
2016-05-07,Argentina,Catamarca,16
2016-05-07,Argentina,Chaco,126
2016-05-07,Argentina,Chaco,7
2016-05-07,Argentina,Chubut,5
2016-05-07,Argentina,Cordoba,2
2016-05-07,Argentina,Cordoba,355
2016-05-07,Argentina,Cordoba,3
2016-05-07,Argentina,Corrientes,18
2016-05-07,Argentina,Entre_Rios,4
2016-05-07,Argentina,Entre_Rios,47
2016-05-07,Argentina,Entre_Rios,10
2016-05-07,Argentina,Formosa,6
2016-05-07,Argentina,Jujuy,9
2016-05-07,Argentina,Jujuy,12
2016-05-07,Argentina,Jujuy,1
2016-05-07,Argentina,Jujuy,886
2016-05-07,Argentina,Jujuy,11
2016-05-07,Argentina,La_Rioja,2
2016-05-07,Argentina,Mendoza,2
2016-05-07,Argentina,Mendoza,1
2016-05-07,Argentina,Mendoza,38
2016-05-07,Argentina,Mendoza,2
2016-05-07,Argentina,Misiones,9
2016-05-07,Argentina,Neuquen,2
2016-05-07,Argentina,Neuquen,13
2016-05-07,Argentina,Neuquen,4
2016-05-07,Argentina,Rio_Negro,2
2016-05-07,Argentina,Rio_Negro,6
2016-05-07,Argentina,Rio_Negro,3
2016-05-07,Argentina,Salta,91
2016-05-07,Argentina,Salta,7
2016-05-07,Argentina,Salta,32
2016-05-07,Argentina,Salta,3
2016-05-07,Argentina,Salta,248
2016-05-07,Argentina,Salta,16
2016-05-07,Argentina,San_Juan,2
2016-05-07,Argentina,San_Luis,12
2016-05-07,Argentina,San_Luis,3
2016-05-07,Argentina,Santa_Cruz,6
2016-05-07,Argentina,Santa_Fe,5
2016-05-07,Argentina,Santa_Fe,1
2016-05-07,Argentina,Santa_Fe,35
2016-05-07,Argentina,Santa_Fe,2
2016-05-07,Argentina,Sgo_Del_Estero,4
2016-05-07,Argentina,Tucuman,63
2016-05-07,Argentina,Tucuman,8
2016-05-14,Argentina,Buenos_Aires,2
2016-05-14,Argentina,Buenos_Aires,1
2016-05-14,Argentina,Buenos_Aires,203
2016-05-14,Argentina,Buenos_Aires,21
2016-05-14,Argentina,CABA,9
2016-05-14,Argentina,CABA,115
2016-05-14,Argentina,CABA,2
2016-05-14,Argentina,Catamarca,15
2016-05-14,Argentina,Chaco,68
2016-05-14,Argentina,Chaco,1
2016-05-14,Argentina,Chubut,1
2016-05-14,Argentina,Chubut,5
2016-05-14,Argentina,Cordoba,1
2016-05-14,Argentina,Cordoba,2
2016-05-14,Argentina,Cordoba,33
2016-05-14,Argentina,Corrientes,2
2016-05-14,Argentina,Corrientes,19
2016-05-14,Argentina,Entre_Rios,41
2016-05-14,Argentina,Formosa,9
2016-05-14,Argentina,Jujuy,703
2016-05-14,Argentina,Jujuy,1
2016-05-14,Argentina,La_Pampa,2
2016-05-14,Argentina,La_Rioja,3
2016-05-14,Argentina,Mendoza,1
2016-05-14,Argentina,Mendoza,16
2016-05-14,Argentina,Misiones,6
2016-05-14,Argentina,Neuquen,20
2016-05-14,Argentina,Rio_Negro,9
2016-05-14,Argentina,Salta,93
2016-05-14,Argentina,Salta,2
2016-05-14,Argentina,San_Juan,1
2016-05-14,Argentina,San_Luis,10
2016-05-14,Argentina,Santa_Cruz,9
2016-05-14,Argentina,Santa_Fe,33
2016-05-14,Argentina,Santa_Fe,2
2016-05-14,Argentina,Sgo_Del_Estero,6
2016-05-14,Argentina,Tucuman,2
2016-05-14,Argentina,Tucuman,38
2016-05-14,Argentina,Tucuman,1
2016-05-22,Argentina,Buenos_Aires,4
2016-05-22,Argentina,Buenos_Aires,1
2016-05-22,Argentina,Buenos_Aires,351
2016-05-22,Argentina,Buenos_Aires,3
2016-05-22,Argentina,CABA,8
2016-05-22,Argentina,CABA,250
2016-05-22,Argentina,CABA,2
2016-05-22,Argentina,Catamarca,16
2016-05-22,Argentina,Chaco,126
2016-05-22,Argentina,Chaco,7
2016-05-22,Argentina,Chubut,5
2016-05-22,Argentina,Cordoba,2
2016-05-22,Argentina,Cordoba,1
2016-05-22,Argentina,Cordoba,359
2016-05-22,Argentina,Cordoba,3
2016-05-22,Argentina,Corrientes,18
2016-05-22,Argentina,Entre_Rios,4
2016-05-22,Argentina,Entre_Rios,49
2016-05-22,Argentina,Entre_Rios,10
2016-05-22,Argentina,Formosa,6
2016-05-22,Argentina,Jujuy,9
2016-05-22,Argentina,Jujuy,12
2016-05-22,Argentina,Jujuy,1
2016-05-22,Argentina,Jujuy,960
2016-05-22,Argentina,Jujuy,12
2016-05-22,Argentina,La_Rioja,2
2016-05-22,Argentina,Mendoza,2
2016-05-22,Argentina,Mendoza,1
2016-05-22,Argentina,Mendoza,38
2016-05-22,Argentina,Mendoza,2
2016-05-22,Argentina,Misiones,11
2016-05-22,Argentina,Neuquen,2
2016-05-22,Argentina,Neuquen,13
2016-05-22,Argentina,Neuquen,4
2016-05-22,Argentina,Rio_Negro,2
2016-05-22,Argentina,Rio_Negro,6
2016-05-22,Argentina,Rio_Negro,3
2016-05-22,Argentina,Salta,93
2016-05-22,Argentina,Salta,7
2016-05-22,Argentina,Salta,32
2016-05-22,Argentina,Salta,3
2016-05-22,Argentina,Salta,255
2016-05-22,Argentina,Salta,17
2016-05-22,Argentina,San_Juan,2
2016-05-22,Argentina,San_Luis,12
2016-05-22,Argentina,San_Luis,3
2016-05-22,Argentina,Santa_Cruz,6
2016-05-22,Argentina,Santa_Fe,5
2016-05-22,Argentina,Santa_Fe,1
2016-05-22,Argentina,Santa_Fe,35
2016-05-22,Argentina,Santa_Fe,2
2016-05-22,Argentina,Sgo_Del_Estero,4
2016-05-22,Argentina,Tucuman,69
2016-05-22,Argentina,Tucuman,8
2016-05-30,Argentina,Buenos_Aires,2
2016-05-30,Argentina,Buenos_Aires,1
2016-05-30,Argentina,Buenos_Aires,215
2016-05-30,Argentina,Buenos_Aires,22
2016-05-30,Argentina,CABA,9
2016-05-30,Argentina,CABA,121
2016-05-30,Argentina,CABA,2
2016-05-30,Argentina,Catamarca,15
2016-05-30,Argentina,Chaco,68
2016-05-30,Argentina,Chaco,1
2016-05-30,Argentina,Chubut,1
2016-05-30,Argentina,Chubut,5
2016-05-30,Argentina,Cordoba,1
2016-05-30,Argentina,Cordoba,2
2016-05-30,Argentina,Cordoba,39
2016-05-30,Argentina,Corrientes,2
2016-05-30,Argentina,Corrientes,19
2016-05-30,Argentina,Entre_Rios,40
2016-05-30,Argentina,Entre_Rios,3
2016-05-30,Argentina,Formosa,9
2016-05-30,Argentina,Jujuy,743
2016-05-30,Argentina,Jujuy,1
2016-05-30,Argentina,La_Pampa,2
2016-05-30,Argentina,La_Rioja,3
2016-05-30,Argentina,Mendoza,1
2016-05-30,Argentina,Mendoza,18
2016-05-30,Argentina,Misiones,6
2016-05-30,Argentina,Misiones,1
2016-05-30,Argentina,Neuquen,20
2016-05-30,Argentina,Rio_Negro,9
2016-05-30,Argentina,Salta,98
2016-05-30,Argentina,Salta,2
2016-05-30,Argentina,San_Juan,1
2016-05-30,Argentina,San_Luis,10
2016-05-30,Argentina,Santa_Cruz,9
2016-05-30,Argentina,Santa_Fe,34
2016-05-30,Argentina,Santa_Fe,2
2016-05-30,Argentina,Sgo_Del_Estero,6
2016-05-30,Argentina,Tucuman,18
2016-05-30,Argentina,Tucuman,3
2016-05-30,Argentina,Tucuman,67
2016-05-30,Argentina,Tucuman,1
2016-06-06,Argentina,Buenos_Aires,2
2016-06-06,Argentina,Buenos_Aires,1
2016-06-06,Argentina,Buenos_Aires,216
2016-06-06,Argentina,Buenos_Aires,22
2016-06-06,Argentina,CABA,9
2016-06-06,Argentina,CABA,123
2016-06-06,Argentina,CABA,2
2016-06-06,Argentina,Catamarca,15
2016-06-06,Argentina,Chaco,68
2016-06-06,Argentina,Chaco,1
2016-06-06,Argentina,Chubut,1
2016-06-06,Argentina,Chubut,5
2016-06-06,Argentina,Cordoba,1
2016-06-06,Argentina,Cordoba,2
2016-06-06,Argentina,Cordoba,40
2016-06-06,Argentina,Corrientes,2
2016-06-06,Argentina,Corrientes,19
2016-06-06,Argentina,Entre_Rios,40
2016-06-06,Argentina,Entre_Rios,3
2016-06-06,Argentina,Formosa,9
2016-06-06,Argentina,Jujuy,749
2016-06-06,Argentina,Jujuy,1
2016-06-06,Argentina,La_Pampa,2
2016-06-06,Argentina,La_Rioja,3
2016-06-06,Argentina,Mendoza,1
2016-06-06,Argentina,Mendoza,18
2016-06-06,Argentina,Misiones,6
2016-06-06,Argentina,Misiones,1
2016-06-06,Argentina,Neuquen,20
2016-06-06,Argentina,Rio_Negro,9
2016-06-06,Argentina,Salta,99
2016-06-06,Argentina,Salta,2
2016-06-06,Argentina,San_Juan,1
2016-06-06,Argentina,San_Luis,12
2016-06-06,Argentina,Santa_Cruz,9
2016-06-06,Argentina,Santa_Fe,34
2016-06-06,Argentina,Santa_Fe,2
2016-06-06,Argentina,Sgo_Del_Estero,6
2016-06-06,Argentina,Tucuman,20
2016-06-06,Argentina,Tucuman,5
2016-06-06,Argentina,Tucuman,59
2016-06-06,Argentina,Tucuman,1
2016-06-13,Argentina,Buenos_Aires,2
2016-06-13,Argentina,Buenos_Aires,1
2016-06-13,Argentina,Buenos_Aires,220
2016-06-13,Argentina,Buenos_Aires,23
2016-06-13,Argentina,CABA,9
2016-06-13,Argentina,CABA,125
2016-06-13,Argentina,CABA,2
2016-06-13,Argentina,Catamarca,15
2016-06-13,Argentina,Chaco,65
2016-06-13,Argentina,Chaco,4
2016-06-13,Argentina,Chubut,1
2016-06-13,Argentina,Chubut,5
2016-06-13,Argentina,Cordoba,1
2016-06-13,Argentina,Cordoba,2
2016-06-13,Argentina,Cordoba,41
2016-06-13,Argentina,Cordoba,1
2016-06-13,Argentina,Corrientes,2
2016-06-13,Argentina,Corrientes,19
2016-06-13,Argentina,Entre_Rios,40
2016-06-13,Argentina,Entre_Rios,4
2016-06-13,Argentina,Formosa,9
2016-06-13,Argentina,Jujuy,765
2016-06-13,Argentina,Jujuy,1
2016-06-13,Argentina,La_Pampa,2
2016-06-13,Argentina,La_Rioja,3
2016-06-13,Argentina,Mendoza,1
2016-06-13,Argentina,Mendoza,18
2016-06-13,Argentina,Misiones,6
2016-06-13,Argentina,Misiones,1
2016-06-13,Argentina,Neuquen,20
2016-06-13,Argentina,Rio_Negro,9
2016-06-13,Argentina,Salta,101
2016-06-13,Argentina,Salta,3
2016-06-13,Argentina,San_Juan,1
2016-06-13,Argentina,San_Luis,12
2016-06-13,Argentina,Santa_Cruz,9
2016-06-13,Argentina,Santa_Fe,36
2016-06-13,Argentina,Santa_Fe,2
2016-06-13,Argentina,Sgo_Del_Estero,6
2016-06-13,Argentina,Tucuman,20
2016-06-13,Argentina,Tucuman,6
2016-06-13,Argentina,Tucuman,66
2016-06-13,Argentina,Tucuman,2
2016-06-18,Argentina,Buenos_Aires,2
2016-06-18,Argentina,Buenos_Aires,1
2016-06-18,Argentina,Buenos_Aires,220
